date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:56	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%225b80-57c3674f28bc4%22	https://misp.iiita.ac.in/fonts/glyphicons-halflings-regular.woff	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/fonts/glyphicons-halflings-regular.woff	(from https://misp.iiita.ac.in/css/bootstrap.min.css)
22:25:58	45404/45404	---M--	200	added ('OK')	application/font-sfnt	etag:%22b15c-57c3674f15efc%22	https://misp.iiita.ac.in/fonts/glyphicons-halflings-regular.ttf	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/fonts/glyphicons-halflings-regular.ttf	(from https://misp.iiita.ac.in/css/bootstrap.min.css)
22:25:58	365616/365616	---M--	200	added ('OK')	image/svg+xml	etag:%2259430-57c3674dda434%22	https://misp.iiita.ac.in/fonts/fontawesome-webfont.svg?v=4.5.0	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/fonts/fontawesome-webfont3295.svg	(from https://misp.iiita.ac.in/css/font-awesome.min.css)
22:25:59	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221a8c2-57c3674f0e9cc%22	https://misp.iiita.ac.in/fonts/glyphicons-halflings-regular.svg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/fonts/glyphicons-halflings-regular.svg	(from https://misp.iiita.ac.in/css/bootstrap.min.css)
22:26:00	73356/73356	---M--	200	added ('OK')	image/jpeg	etag:%2211e8c-57c36751c8dac%22	https://misp.iiita.ac.in/img/deep.jpeg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/deep.jpg	(from https://misp.iiita.ac.in/workshop.html)
22:26:00	96863/96863	---M--	200	added ('OK')	image/jpeg	etag:%2217a5f-57c367501a30c%22	https://misp.iiita.ac.in/img/bigdata.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/bigdata.jpg	(from https://misp.iiita.ac.in/workshop.html)
22:26:01	16132/16132	---M--	200	added ('OK')	image/jpeg	etag:%223f04-57c36753bc1f4%22	https://misp.iiita.ac.in/img/kpsir.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/kpsir.jpg	(from https://misp.iiita.ac.in/workshop.html)
22:26:03	60521/60521	---M--	200	added ('OK')	image/jpeg	etag:%22ec69-57c367544033c%22	https://misp.iiita.ac.in/img/sonalimam.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/sonalimam.jpg	(from https://misp.iiita.ac.in/workshop.html)
22:26:03	25792/25792	---M--	200	added ('OK')	image/jpeg	etag:%2264c0-57c36753d0a14%22	https://misp.iiita.ac.in/img/manish.jpg	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/manish.jpg	(from https://misp.iiita.ac.in/workshop.html)
22:26:04	209/209	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202020%2016:56:48%20GMT	https://misp.iiita.ac.in/index1.html	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/index1.html	(from https://misp.iiita.ac.in/committee.html)
